"id","country_id:id","code","name","abbreviation"
Chuquisaca,base.bo,01,Chuquisaca,CH
LaPaz,base.bo,02,La Paz,LP
Cochabamba,base.bo,03,Cochabamba,CB
Oruro,base.bo,04,Oruro,OR
Potosí,base.bo,05,Potosí,PT
Tarija,base.bo,06,Tarija,TJ
SantaCruz,base.bo,07,Santa Cruz,SC
Beni,base.bo,08,Beni,BE
Pando,base.bo,09,Pando,PD
